Periodos,Registros,Consumo KWH,Facturado,Consumo kw,facuracion Promedio,Costo kw
202210,96218,12279221.74,16805200.7,127.61875886008855,174.6575557587977,1.3685884216307018
202211,96254,11539464.74,16907781.9,119.88556049618717,175.65796642217464,1.4652137062641606
202212,96423,12207402.74,16966576.2,126.6026024911069,175.9598456799726,1.3898596254554307
202301,96526,11630768.74,16476318.9,120.49363632596399,170.69306611690115,1.4166147800132427
202302,96526,10392897.74,14919934.3,107.6694128006962,154.56907258148064,1.4355894451435256
Totales,481940,58049755.7,82075812.0,120.45017159812426,170.30296717433706,1.4138872939305065
